sample_id,router_task,ground_truth_type,c_model,c_latency,c_cost,c_correct,c_cascaded,a_model,a_latency,a_cost,a_correct,prompt_tokens,completion_tokens
ai2d_01324_61c9ed18027b825a,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.817914962768555,0.0,True,False,qwen3_vl_8b_thinking,4698.389768600464,0.00011540000000000001,False,65,512
chart2text_01124_f03990576e58366b,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,834.4430923461914,3.96e-05,False,True,qwen3_vl_8b_thinking,5647.225141525269,0.0,False,0,0
chart2text_01562_ba6d38d4c6fdbd0c,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1530.2760601043701,1.36e-05,False,True,qwen3_vl_8b_thinking,4671.850919723511,0.00010680000000000001,False,22,512
chart2text_00836_378ee46f206868fb,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,487.98489570617676,2.48e-05,False,True,qwen3_vl_8b_thinking,4679.369211196899,0.0001072,False,24,512
chart2text_00021_03d8fed4bca3b568,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1519.7126865386963,1.36e-05,False,True,qwen3_vl_8b_thinking,4650.133848190308,0.00010680000000000001,False,22,512
ai2d_01716_c51556d9c9a93088,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.19914627075195,0.0,True,False,qwen3_vl_8b_thinking,4633.326768875122,0.00011300000000000001,False,53,512
aokvqa_01215_9aa750fed1b3b56e,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1845.646858215332,0.0,False,False,qwen3_vl_8b_thinking,5987.634181976318,0.0,False,0,0
ai2d_00069_c3136202feef50cc,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,109.10606384277344,1.3000000000000001e-05,True,True,qwen2_5_vl_3b,213.71197700500488,1.3000000000000001e-05,False,63,2
aokvqa_00462_e5e151a0a995d928,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,855.7941913604736,0.0,False,False,qwen3_vl_8b_thinking,5836.161136627197,0.0,False,0,0
ai2d_00878_5ce55a4e85d8c13d,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,66.88308715820312,0.0,True,False,qwen2_5_vl_3b,5508.62717628479,0.0,False,0,0
chart2text_01903_fb9a78063f09c736,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1078.233003616333,5.22e-05,False,True,qwen3_vl_8b_thinking,4591.526031494141,0.00010680000000000001,False,22,512
chartqa_00265_0e5286edef781b3b,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,253.04603576660156,9.600000000000001e-06,False,True,qwen3_vl_8b_thinking,6009.378910064697,0.0,False,0,0
chart2text_00434_f32cdb930f03c487,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1048.6128330230713,5.22e-05,False,True,qwen3_vl_8b_thinking,4653.28311920166,0.00010680000000000001,False,22,512
aokvqa_01643_69131089c8d5abc8,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1016.9899463653564,0.0,False,False,qwen3_vl_8b_thinking,5870.231866836548,0.0,False,0,0
chartqa_00665_51230c66c96c338c,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,3898.146867752075,7.480000000000002e-05,False,True,qwen3_vl_8b_thinking,4687.3297691345215,0.00010700000000000001,False,23,512
ai2d_01328_7975ab36b76a5d8d,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,53.881168365478516,0.0,True,False,qwen3_vl_8b_thinking,2745.6910610198975,6.659999999999999e-05,False,44,289
aokvqa_00801_9a4f3c25ac91e209,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,2359.9112033843994,0.0,False,False,qwen3_vl_8b_thinking,4777.752876281738,0.00011320000000000001,False,54,512
aokvqa_00148_c0c1d99807ff36c6,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1281.2950611114502,0.0,False,False,qwen3_vl_8b_thinking,4768.956184387207,0.00011220000000000002,False,49,512
ai2d_00471_f7e17c27cd642347,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,56.53691291809082,0.0,False,False,qwen3_vl_8b_thinking,4762.11404800415,0.0001134,False,55,512
chart2text_01126_a58a62b678918a2b,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,797.3332405090332,1.2600000000000001e-05,False,True,qwen3_vl_8b_thinking,4312.5269412994385,9.760000000000001e-05,False,21,467
chart2text_00840_9737cbf0180a7439,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,438.9629364013672,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,4684.175968170166,0.00010600000000000002,False,18,512
chart2text_00035_db618d66ac8f3e57,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,760.5609893798828,1.2600000000000001e-05,False,True,qwen3_vl_8b_thinking,4196.304082870483,9.540000000000001e-05,False,21,456
chart2text_01565_86d85a0d0f6eefa8,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1497.7319240570068,1.36e-05,False,True,qwen3_vl_8b_thinking,5753.584146499634,0.0,False,0,0
aokvqa_00464_404c450e9f73d69e,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,657.6879024505615,0.0,False,False,qwen3_vl_8b_thinking,4538.059949874878,0.0001072,False,47,489
aokvqa_01217_06f25ceff6e391d8,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,2280.1711559295654,0.0,False,False,qwen3_vl_8b_thinking,4499.26495552063,0.0001084,False,53,489
ai2d_00905_f0d3081b58536b18,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.30722236633301,0.0,True,False,qwen3_vl_8b_thinking,4745.8178997039795,0.00011820000000000001,False,79,512
ai2d_01720_654d5044effc6340,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,123.19588661193848,1.18e-05,False,True,qwen3_vl_8b_thinking,5928.404092788696,0.0,False,0,0
chart2text_01904_6391bdb82fc28c42,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1325.408935546875,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,4699.725151062012,0.00010700000000000001,False,23,512
ai2d_00073_bd3cfc3a8ea4a109,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.084062576293945,0.0,False,False,qwen3_vl_8b_thinking,4684.374094009399,0.00011260000000000001,False,51,512
chartqa_00269_8297ec2a7a4d731e,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,438.8108253479004,1.3600000000000002e-05,False,True,qwen3_vl_8b_thinking,5709.14101600647,0.0,False,0,0
aokvqa_00149_87b1c8779b39b7c6,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,62.11113929748535,0.0,True,False,qwen2_5_vl_3b,215.9578800201416,1.16e-05,False,56,2
chartqa_00670_f6035a0ef34b4fd7,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,545.7379817962646,1.4999999999999999e-05,False,True,qwen3_vl_8b_thinking,4753.30924987793,0.00010700000000000001,False,23,512
chart2text_00435_1d0deb7eb7290148,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,447.1709728240967,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,4663.164138793945,0.00010600000000000002,False,18,512
aokvqa_01663_83306d914a559699,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1311.1839294433594,0.0,True,False,qwen3_vl_8b_thinking,4846.377849578857,0.00011140000000000001,False,45,512
aokvqa_00804_53a394f077fade95,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,528.8031101226807,0.0,False,False,qwen3_vl_8b_thinking,4753.893136978149,0.00011260000000000001,False,51,512
ai2d_01336_3e2b3bd2cfed7cc9,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.35600471496582,0.0,True,False,qwen3_vl_8b_thinking,4693.794965744019,0.0001112,False,44,512
ai2d_00494_027c9ba68e708bdc,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.882049560546875,0.0,False,False,qwen3_vl_8b_thinking,4710.163831710815,0.0001128,False,52,512
chart2text_01140_2a0217130982c920,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,491.0879135131836,2.48e-05,False,True,qwen3_vl_8b_thinking,5837.6898765563965,0.0,False,0,0
ai2d_01730_092f8dd86be3e74b,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,57.74378776550293,0.0,True,False,qwen2_5_vl_3b,259.49692726135254,1.1e-05,False,53,2
chart2text_00040_9df3a0a047c1e0ad,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,628.899097442627,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,4670.289754867554,0.00010660000000000002,False,21,512
chart2text_00843_0d6270a4aa2159a2,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1327.5489807128906,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,4591.42804145813,0.00010700000000000001,False,23,512
aokvqa_01234_6ce30d46785e0d0b,knowledge_vqa,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1641.7508125305176,4.02e-05,True,True,qwen3_vl_8b_thinking,5825.817108154297,0.0,False,0,0
ai2d_00906_e8c715f351b8ef31,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,108.9332103729248,0.0,True,False,qwen3_vl_8b_thinking,4691.6937828063965,0.0001238,False,107,512
aokvqa_00469_9a2896f5c3ab8f7a,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1431.0779571533203,0.0,True,False,qwen3_vl_8b_thinking,5895.535230636597,0.0,False,0,0
chart2text_01910_a06d441fecbfab48,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1528.0706882476807,1.36e-05,False,True,qwen3_vl_8b_thinking,4625.626087188721,0.00010680000000000001,False,22,512
chart2text_01566_5adf6761dd129c19,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,899.6243476867676,1.3200000000000002e-05,False,True,qwen3_vl_8b_thinking,5919.456958770752,0.0,False,0,0
chartqa_00308_d4c3c47912bd94b4,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,102.55312919616699,6.8e-06,False,True,qwen3_vl_8b_thinking,4650.30574798584,0.00010740000000000001,False,25,512
ai2d_00086_f510e042dd7ad72d,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,493.8187599182129,3.52e-05,False,True,qwen3_vl_8b_thinking,5796.370267868042,0.0,False,0,0
chartqa_00674_2d8bf6c47d7ce729,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,229.28690910339355,8.8e-06,False,True,qwen2_5_vl_3b,5541.087865829468,0.0,False,0,0
chart2text_00445_f9f726712789c7b1,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,761.8279457092285,1.2600000000000001e-05,False,True,qwen3_vl_8b_thinking,4462.967872619629,0.00010219999999999999,False,21,490
aokvqa_00812_bba2b7164327d905,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,697.6749897003174,0.0,True,False,qwen3_vl_8b_thinking,4660.2959632873535,0.00011220000000000002,False,49,512
ai2d_01337_726d27cbb513a0e0,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,48.29525947570801,1e-05,False,True,qwen2_5_vl_3b,5418.220043182373,0.0,False,0,0
aokvqa_01664_41ea013acb36bb1e,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,2463.4852409362793,0.0,False,False,qwen3_vl_8b_thinking,5889.98007774353,0.0,False,0,0
aokvqa_00156_03f8041bebdf05dd,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,3105.423927307129,0.0,False,False,qwen3_vl_8b_thinking,4660.299062728882,0.00011260000000000001,False,51,512
ai2d_00496_dbbfc8bb25a6d22b,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,63.086748123168945,0.0,True,False,qwen3_vl_8b_thinking,5985.357046127319,0.0,False,0,0
chart2text_01145_022c6bc66bc25513,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,758.8720321655273,1.2600000000000001e-05,False,True,qwen3_vl_8b_thinking,5948.739051818848,0.0,False,0,0
chart2text_00846_4aaa7bb6d501ddcd,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,454.04982566833496,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,5704.738616943359,0.0,False,0,0
chart2text_00045_499fa8917f6b9f12,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,821.0399150848389,3.96e-05,False,True,qwen3_vl_8b_thinking,5865.323066711426,0.0,False,0,0
aokvqa_00470_1933f676a565da0f,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1085.5660438537598,0.0,False,False,qwen3_vl_8b_thinking,5819.286823272705,0.0,False,0,0
ai2d_01733_6163e0a47cdb1957,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,101.3801097869873,1.1400000000000001e-05,True,True,qwen3_vl_8b_thinking,4631.125926971436,0.0001116,False,46,512
aokvqa_01242_4730a1ffe59f69ee,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,2431.9019317626953,0.0,False,False,qwen3_vl_8b_thinking,5852.795124053955,0.0,False,0,0
ai2d_00908_02d21beab8e54ab7,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.95696449279785,0.0,True,False,qwen3_vl_8b_thinking,5643.860101699829,0.0,False,0,0
chart2text_01568_b184cf01429f7512,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,443.1033134460449,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,4687.386274337769,0.00010600000000000002,False,18,512
ai2d_00097_01cfe9c711a58157,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,81.56204223632812,0.0,True,False,qwen3_vl_8b_thinking,4724.355936050415,0.0001128,False,52,512
chart2text_01917_cee7eff5598595f1,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,676.0592460632324,1.58e-05,False,True,qwen3_vl_8b_thinking,4642.207145690918,0.00010660000000000002,False,21,512
chartqa_00311_58026b20d31a483b,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,423.10619354248047,1.3199999999999999e-05,False,True,qwen2_5_vl_3b,5315.384149551392,0.0,False,0,0
aokvqa_01665_2a2a98c195a3bcdf,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1189.8798942565918,0.0,False,False,qwen2_5_vl_3b,543.612003326416,2.14e-05,False,62,45
chartqa_00675_632ac4caaab2bcd7,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,237.28203773498535,1.3200000000000002e-05,False,True,qwen3_vl_8b_thinking,4656.342029571533,0.00010760000000000001,False,26,512
ai2d_00497_057af09c9d4c4f27,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.54283142089844,0.0,True,False,qwen2_5_vl_3b,190.3090476989746,1.16e-05,False,56,2
chart2text_00461_7357978848767397,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,831.0320377349854,3.96e-05,False,True,qwen3_vl_8b_thinking,4637.767791748047,0.0001062,False,19,512
aokvqa_00822_9d2a9d213a06721d,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,212.27717399597168,0.0,False,False,qwen3_vl_8b_thinking,6038.995981216431,0.0,False,0,0
aokvqa_00158_f3b72cfe47bd9286,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,129.62889671325684,0.0,True,False,qwen3_vl_8b_thinking,5950.7129192352295,0.0,False,0,0
ai2d_01343_b5229275dc3634f5,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.28304862976074,0.0,True,False,qwen3_vl_8b_thinking,5852.070093154907,0.0,False,0,0
chart2text_01181_295d7d345bd3e0ca,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,445.33586502075195,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,5837.451934814453,0.0,False,0,0
chart2text_00847_e3d067c7f3edb6d5,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1320.8050727844238,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,4581.967830657959,0.00010700000000000001,False,23,512
chart2text_00046_27593521f4a2919b,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,490.4801845550537,2.48e-05,False,True,qwen3_vl_8b_thinking,5765.355110168457,0.0,False,0,0
aokvqa_01259_429c74a734bca8fc,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,551.5751838684082,0.0,False,False,qwen3_vl_8b_thinking,5677.25396156311,0.0,False,0,0
ai2d_01738_8cd721938d73ec34,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,81.00509643554688,0.0,True,False,qwen3_vl_8b_thinking,4638.751029968262,0.00011220000000000002,False,49,512
aokvqa_00474_599637dba60d572c,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1194.5977210998535,0.0,True,False,qwen3_vl_8b_thinking,4592.9999351501465,0.00011260000000000001,False,51,512
chartqa_00318_2035f4c41298e401,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,579.6167850494385,7.600000000000001e-06,False,True,qwen2_5_vl_3b,213.03868293762207,7.800000000000002e-06,False,35,4
ai2d_00913_9ebcde6f5b23e5dd,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,78.03225517272949,0.0,True,False,qwen2_5_vl_3b,5437.447309494019,0.0,False,0,0
