sample_id,router_task,ground_truth_type,c_model,c_latency,c_cost,c_correct,c_cascaded,a_model,a_latency,a_cost,a_correct,prompt_tokens,completion_tokens
ai2d_00466_fcc20b47940fa9ff,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.96516418457031,0.0,True,False,qwen2_5_vl_3b,5648.808002471924,0.0,False,0,0
ai2d_00626_7a65f178db28483e,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,76.44486427307129,0.0,True,False,qwen3_vl_8b_thinking,5933.927059173584,0.0,False,0,0
ai2d_00303_1edc70add56c6c0e,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.63004112243652,0.0,True,False,qwen3_vl_8b_thinking,5777.429819107056,0.0,False,0,0
ai2d_00161_3d6a73d15b035832,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,119.35162544250488,1.1e-05,False,True,qwen3_vl_8b_thinking,4689.858913421631,0.0001112,False,44,512
ai2d_00294_aa5da3c36452aae2,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,110.15486717224121,1.1e-05,False,True,qwen3_vl_8b_thinking,5707.414865493774,0.0,False,0,0
ai2d_00019_e5f934cfc0951972,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,118.93796920776367,1.64e-05,False,True,qwen2_5_vl_3b,238.91615867614746,1.6e-05,False,78,2
ai2d_00035_c56cef3ec124dce3,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,57.32369422912598,0.0,True,False,qwen3_vl_8b_thinking,5828.487157821655,0.0,False,0,0
ai2d_00304_d93a30f13d5a344d,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.585031509399414,0.0,False,False,qwen3_vl_8b_thinking,4642.915725708008,0.00011260000000000001,False,51,512
ai2d_00369_e27bb7069f1f4965,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,368.0109977722168,2.86e-05,False,True,qwen3_vl_8b_thinking,6028.844118118286,0.0,False,0,0
ai2d_00545_9f68f540612da23e,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.307844161987305,0.0,True,False,qwen3_vl_8b_thinking,5637.435674667358,0.0,False,0,0
ai2d_00543_73b48164946ff130,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.32794380187988,0.0,True,False,qwen2_5_vl_3b,5661.927938461304,0.0,False,0,0
ai2d_00296_55cf248aefaaa556,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,82.15689659118652,1.1200000000000001e-05,True,True,qwen3_vl_8b_thinking,6002.835035324097,0.0,False,0,0
ai2d_00163_24974cb8047c6d76,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.986881256103516,0.0,True,False,qwen3_vl_8b_thinking,5587.10503578186,0.0,False,0,0
ai2d_00041_09ec3696b0588adc,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,470.4408645629883,3.18e-05,False,True,qwen2_5_vl_3b,5501.0669231414795,0.0,False,0,0
ai2d_00551_9bb5b85eec8e4b82,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,56.34307861328125,0.0,True,False,qwen2_5_vl_3b,5591.676235198975,0.0,False,0,0
ai2d_00370_e73bbfac9a187c82,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.142215728759766,0.0,True,False,qwen3_vl_8b_thinking,6019.781827926636,0.0,False,0,0
ai2d_00051_cae6bb5eb2052749,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.686784744262695,0.0,True,False,qwen2_5_vl_3b,214.7519588470459,1.34e-05,False,65,2
ai2d_00467_20f09af87356d71a,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,74.11623001098633,9.800000000000001e-06,False,True,qwen3_vl_8b_thinking,4692.377805709839,0.0001116,False,46,512
ai2d_00376_a07c134a2b51774f,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.12626266479492,0.0,True,False,qwen3_vl_8b_thinking,2927.673816680908,7.2e-05,False,51,309
ai2d_00175_99f697cf0eea1a22,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.9411563873291,0.0,True,False,qwen3_vl_8b_thinking,3990.8289909362793,9.54e-05,False,51,426
ai2d_00305_eee5d6d5952c4347,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.41904067993164,0.0,False,False,qwen3_vl_8b_thinking,5659.869909286499,0.0,False,0,0
ai2d_00299_e6b4138618f37f17,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,280.1501750946045,1.86e-05,True,True,qwen2_5_vl_3b,5802.528142929077,0.0,False,0,0
ai2d_00470_1b43e41636c37dcf,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.3371696472168,0.0,True,False,qwen3_vl_8b_thinking,1919.713020324707,4.880000000000001e-05,False,45,199
ai2d_00633_f1428f72cc172c9d,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,60.13298034667969,0.0,False,False,qwen3_vl_8b_thinking,5737.777948379517,0.0,False,0,0
ai2d_00554_2919f11850bb47ee,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.38914489746094,0.0,True,False,qwen3_vl_8b_thinking,6179.742813110352,0.0,False,0,0
ai2d_00307_e01e92551c83fb67,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,125.16307830810547,1.16e-05,True,True,qwen3_vl_8b_thinking,5739.344120025635,0.0,False,0,0
ai2d_00065_3ed208d8cafa62d8,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.94878578186035,0.0,False,False,qwen2_5_vl_3b,5624.385833740234,0.0,False,0,0
ai2d_00181_1347e1af4b429d34,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,57.80506134033203,0.0,True,False,qwen3_vl_8b_thinking,5789.168119430542,0.0,False,0,0
ai2d_00309_11a6ec669201f1bc,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,81.70509338378906,0.0,True,False,qwen2_5_vl_3b,230.1769256591797,1.18e-05,False,57,2
ai2d_00396_842196e65d592109,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,512.6798152923584,3.44e-05,True,True,qwen3_vl_8b_thinking,5900.659084320068,0.0,False,0,0
ai2d_00645_ee35e8c14abb3dde,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,58.142900466918945,0.0,True,False,qwen3_vl_8b_thinking,5913.899183273315,0.0,False,0,0
ai2d_00471_f7e17c27cd642347,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,62.952280044555664,0.0,False,False,qwen3_vl_8b_thinking,4657.2511196136475,0.0001134,False,55,512
ai2d_00559_89ebf0d4a6b6210c,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,58.44593048095703,0.0,True,False,qwen3_vl_8b_thinking,5823.826789855957,0.0,False,0,0
ai2d_00073_bd3cfc3a8ea4a109,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.12807655334473,0.0,False,False,qwen3_vl_8b_thinking,5943.336009979248,0.0,False,0,0
ai2d_00182_989ef7f73115f124,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,424.1058826446533,2.9e-05,False,True,qwen3_vl_8b_thinking,5795.16077041626,0.0,False,0,0
ai2d_00069_c3136202feef50cc,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,129.67300415039062,1.3000000000000001e-05,True,True,qwen3_vl_8b_thinking,4657.494068145752,0.00011320000000000001,False,54,512
ai2d_00402_857422b236df7e7b,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,57.85107612609863,0.0,True,False,qwen3_vl_8b_thinking,4662.789821624756,0.000115,False,63,512
ai2d_00663_54b89d054e280a79,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,53.826093673706055,0.0,True,False,qwen2_5_vl_3b,5822.889804840088,0.0,False,0,0
ai2d_00569_c8d9461764d48a2c,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,130.36203384399414,1.04e-05,False,True,qwen3_vl_8b_thinking,5881.119966506958,0.0,False,0,0
ai2d_00494_027c9ba68e708bdc,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.1167049407959,0.0,False,False,qwen3_vl_8b_thinking,4661.694288253784,0.0001128,False,52,512
ai2d_00316_3586bc61d38a8349,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,68.33887100219727,0.0,True,False,qwen3_vl_8b_thinking,6041.074991226196,0.0,False,0,0
ai2d_00086_f510e042dd7ad72d,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,566.5152072906494,3.86e-05,False,True,qwen3_vl_8b_thinking,5839.838981628418,0.0,False,0,0
ai2d_00190_9271648f7c34de11,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.08303642272949,0.0,False,False,qwen3_vl_8b_thinking,6038.828134536743,0.0,False,0,0
ai2d_00667_8cd26d56436998b1,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.77514457702637,0.0,True,False,qwen3_vl_8b_thinking,4686.717987060547,0.0001156,False,66,512
ai2d_00408_40d37ca8217c2bda,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.14691162109375,0.0,True,False,qwen3_vl_8b_thinking,5932.412147521973,0.0,False,0,0
ai2d_00496_dbbfc8bb25a6d22b,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,53.732872009277344,0.0,True,False,qwen3_vl_8b_thinking,3042.273759841919,7.32e-05,False,45,321
ai2d_00572_5c014378935b9f9e,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.62503433227539,0.0,True,False,qwen3_vl_8b_thinking,5545.766115188599,0.0,False,0,0
ai2d_00334_da0e7b55c01b6968,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,56.88905715942383,0.0,True,False,qwen3_vl_8b_thinking,4693.114995956421,0.0001128,False,52,512
ai2d_00196_b6318e40f7c47712,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,167.10901260375977,1.26e-05,True,True,qwen3_vl_8b_thinking,5768.0158615112305,0.0,False,0,0
ai2d_00409_e2451a5ab9d85c5a,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.90200424194336,0.0,False,False,qwen3_vl_8b_thinking,6080.338954925537,0.0,False,0,0
ai2d_00670_9917502067588caa,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,130.9530735015869,1.26e-05,True,True,qwen2_5_vl_3b,5645.8399295806885,0.0,False,0,0
ai2d_00574_27215defd70d4271,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,120.14913558959961,1.28e-05,True,True,qwen3_vl_8b_thinking,4178.658962249756,0.00010180000000000001,False,53,456
ai2d_00671_91e440b27886c731,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.907135009765625,0.0,True,False,qwen2_5_vl_3b,239.10880088806152,1.54e-05,False,75,2
ai2d_00097_01cfe9c711a58157,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.16479301452637,0.0,True,False,qwen3_vl_8b_thinking,4655.407905578613,0.0001128,False,52,512
ai2d_00497_057af09c9d4c4f27,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.421186447143555,0.0,True,False,qwen3_vl_8b_thinking,5843.91188621521,0.0,False,0,0
ai2d_00576_b0c93ba86b4588cf,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,63.22312355041504,0.0,True,False,qwen3_vl_8b_thinking,4630.284070968628,0.0001226,False,101,512
ai2d_00335_30985c5f031c6202,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.750017166137695,0.0,True,False,qwen3_vl_8b_thinking,5703.294992446899,0.0,False,0,0
ai2d_00414_68f312a7b628e670,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.06694793701172,0.0,True,False,qwen2_5_vl_3b,5625.171184539795,0.0,False,0,0
ai2d_00109_4c8b7ada2d005907,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,65.72818756103516,0.0,False,False,qwen3_vl_8b_thinking,6096.580982208252,0.0,False,0,0
ai2d_00501_724d5dde8d285375,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,363.25693130493164,1.1200000000000001e-05,False,True,qwen3_vl_8b_thinking,4629.33087348938,0.00011320000000000001,False,54,512
ai2d_00344_d121c8ca1bc5be59,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,413.09309005737305,1.4400000000000001e-05,True,True,qwen3_vl_8b_thinking,5657.402038574219,0.0,False,0,0
ai2d_00425_4c6f343f827d4e80,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.32610893249512,0.0,True,False,qwen2_5_vl_3b,5589.430093765259,0.0,False,0,0
ai2d_00579_859ac2425163f84d,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.70686340332031,0.0,True,False,qwen2_5_vl_3b,5566.499948501587,0.0,False,0,0
ai2d_00428_9654b2a2f1007e25,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,367.64979362487793,2.72e-05,False,True,qwen2_5_vl_3b,249.63092803955078,1.66e-05,False,81,2
ai2d_00112_1604d398417d7d77,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.20293998718262,0.0,True,False,qwen3_vl_8b_thinking,3978.7540435791016,0.0001,False,69,431
ai2d_00118_743ddd575f6c58f3,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,97.8231430053711,1.08e-05,True,True,qwen2_5_vl_3b,200.0589370727539,1.08e-05,False,52,2
ai2d_00510_801b106d67059d66,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.46200752258301,0.0,True,False,qwen2_5_vl_3b,192.16585159301758,1.32e-05,False,64,2
ai2d_00345_fc2742e30ac64db8,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.15199089050293,0.0,True,False,qwen3_vl_8b_thinking,4654.148101806641,0.00011300000000000001,False,53,512
ai2d_00503_87e4e7a0285f3c27,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.88186264038086,0.0,True,False,qwen3_vl_8b_thinking,5895.689010620117,0.0,False,0,0
ai2d_00591_06d34dff6d1f8abc,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,134.79971885681152,1.1400000000000001e-05,True,True,qwen3_vl_8b_thinking,4597.387075424194,0.0001116,False,46,512
ai2d_00127_cb9d05c6a31e39c3,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,67.98791885375977,0.0,True,False,qwen2_5_vl_3b,186.63501739501953,1.3000000000000001e-05,False,63,2
ai2d_00007_e6f58451a22503d1,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.35686492919922,0.0,False,False,qwen2_5_vl_3b,171.6320514678955,1.24e-05,False,60,2
ai2d_00513_c5c23b189e21a499,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,50.86517333984375,0.0,True,False,qwen2_5_vl_3b,158.9069366455078,1.26e-05,False,61,2
ai2d_00346_258ee9eefa3e758b,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,49.262046813964844,0.0,True,False,qwen2_5_vl_3b,5690.070867538452,0.0,False,0,0
ai2d_00433_bd168da8512d8f66,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,49.63493347167969,0.0,True,False,qwen3_vl_8b_thinking,5792.902946472168,0.0,False,0,0
ai2d_00601_1b7dba46379d0ef9,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.618099212646484,0.0,True,False,qwen3_vl_8b_thinking,4907.8209400177,0.00011180000000000001,False,52,507
ai2d_00208_6b443ddb21524652,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.985979080200195,0.0,True,False,qwen3_vl_8b_thinking,4768.26810836792,0.00011200000000000001,False,48,512
ai2d_00347_2a2b7e3607fddc07,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.70893669128418,0.0,True,False,qwen2_5_vl_3b,5564.908981323242,0.0,False,0,0
ai2d_00434_7bb32f7f26f71cb0,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,53.28798294067383,0.0,True,False,qwen3_vl_8b_thinking,4687.399864196777,0.00011260000000000001,False,51,512
ai2d_00612_d905586a82e190dc,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,51.69987678527832,0.0,True,False,qwen3_vl_8b_thinking,5908.6949825286865,0.0,False,0,0
ai2d_00134_83eed026ad7c4161,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,94.62714195251465,8.8e-06,False,True,qwen3_vl_8b_thinking,4616.172790527344,0.00011140000000000001,False,45,512
ai2d_00236_c3bcc1a3b7fed8d0,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.43184280395508,0.0,True,False,qwen3_vl_8b_thinking,5842.673778533936,0.0,False,0,0
ai2d_00536_b3ecd70fde4a3e0f,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,56.487321853637695,0.0,True,False,qwen3_vl_8b_thinking,5951.560974121094,0.0,False,0,0
